Ulaa	Ulan
vermiolar	vermiyorlar
satmioruz	satmıyoruz
diolar	diyorlar
bayii	bayi
vermiolar	vermiyorlar
satmioruz	satmıyoruz
diolar	diyorlar
bacın	bacını
sikem	sikeyim
çekersee	çekerse
şekerr	şeker
çekersee	çekerse
şekerr	şeker
turkcel	Turkcell
artı	arttı
heralde	herhalde
vermıoyrdu	vermiyordu
aguzlu	ağızlı
yedimin	yediğimin
telefonununda	telefonunda
telefonununda	telefonunda
telefonununda	telefonunda
Vee	Ve
tlfuma	telefonuma
böylee	böyle
vermeyee	vermeye
sitTİM	sittin
telefonununda	telefonunda
Atlayım	Atlayayım
hadi	Haydi
boyna	Boyuna
cikmis	cçıkmış
Turksel	Turkcell
kankım	kankam
hee	hey
kullahlari	kulahlari
değişces	değişeceğiz
donüşş	dönüş
tûrkcell	Turkcell
turkcell	sonuna
bukadar	bu
siciyim	şıçayım
gelmior	gelmiyor
edersinn	edersin
Türklgnden	Türklüğünden
utann	utan
gidiceksin	gideceksin
trkcll	Turkcell
askm	aşkım
ck	çok
ypcm	yapacağım
yaa	ya
tivit	tweet
geçim	geçeyim
felan	filan
Fenarbahçe	Fenerbahçe
sarsmiyosa	sarsmıyorsa
ahanda	aha
turkcel	Turkcell
yukselticegini	yukselteceğini
telefonununda	telefonunda
bende	ben
dersteyım	de
rehperimde	rehberimde
numrasi	numarası
turkcel	Turkcell
imal	ihmal
uyladınız	uyguladınız
gidem	gideyim
vuram	vurayım
koymuşunuz	Koymuşsunuz
skeyım	sikeyim
attig	attığı
çalışıyoryum	çalışıyorum
yılbaş	yılbaşı
kendile	kendileri
imal	ihmal
imal	ihmal
gitt	git
onal	olan
türksel	Turkcell
turkcel	Turkcell
Tskler	Teşekkürler
diyomm	diyorum
yeminlen	yeminle
Turksel	Turkcell
kankım	kankam
srunlarinda	sorunlarında
dellenmis	delilenmiş
canıms	canım
koyim	koyayım
türksel	Turkcell
atıyım	atayım
esemesin	smsin
bit	bir
turksel	Turkcell
oldumu	olduğumu
Türksel	Turkcell
fırlatsınlaar	fırlatsınlar
fırlatsınlaar	fırlatsınlar
fırlatsınlaar	fırlatsınlar
yardmci	yardımcı
olsnn	olsun
Turkcell	Turkcel
acill	acil
yani	Bu
yinee	yine
hımm	hım
geciyorr	geçiyor
belasın	belası
mükellem	mükemmel
yapmiis	yapmış
turkcel	Turkcell
cikoyla	çıkıyorlar
kontur	kontör
yaa	ya
turkcel	Turkcell
si	şey
söyliyim	söyleyeyim
atıyım	atayım
atıyım	atayım
atıyım	atayım
heralde	herhalde
atıyım	atayım
aldıı	aldı
kontoru	kontürü
turkcel	Turkcell
turkcel	Turkcell
pakedi	paketi
Abii	Abi
türksell	Turkcell
sevgiilimm	sevgilim
Turkcel	Turkcell
ıpneler	ibneler
timlerdeki	TİMlerdeki
turksel	Turkcell
off	of
yapmicaktınn	yapmayacaktın
turksel	Turkcell
heralde	herhalde
turksel	Tukcell
arıyabilirim	arayabilirim
kmpnyalrini	kampanyalarını
istemiorm	istemiyorum
yha	ya
Babaannemin	Babaannemden
pess	pes
kimi	kimin
yapıcağını	yapacağını
banviit	Banvit
sıtayl	style
türksel	Turkcell
sıtayl	style
yapdım	yaptım
atliim	atlayayım
atıyım	atayım
İii	İyi
turkcel	Turkcell
Turkcel	Turkcell
vodofone	Vodafone
turksel	Turkcell
türksel	Turkcell
styla	style
snlik	saniyelik
dakkaa	dakika
ozlemktir	özlemektir
amma	ama
yaa	ya
türksel	Turksell
yetme	yetmez
hissetmim	hissetmeyeyim
türksel	Turksell
stayla	style
stayla	style
yaa	ya
eraay	Eray
sikiyimm	sikeyim
duygulandii	duygulandı
ustj	üstü
yanlız	yalnız
lutfenn	lütfen
kıız	kız
turkcel	Turkcell
turkcel	Turkcell
türksell	Turkcell
badavaymış	bedavaymış
türkcel	Turkcell
görüşrüken	görüşürken
türkcel	Turkcell
cekmiyodur	çekmiyordur
geldii	geldi
yazdirilmasii	yazdırılması
yalnizz	yalnız
off	of
yüreğimin	neden
fırlatsınlaar	fırlatsınlar
Turkcel	Turkcell
turkcel	Turkcell
turkcel	Turkcell
turkcel	Turkcell
acaip	acayip
yaa	ya
yapim	yapayım
pislikk	pislik
Atlayım	atlayayım
bee	be
smsi	SMSi
karşiim	kardeşim
vodafon	Vodafone
türksel	Turkcell
twitimi	tweetimi
gidi	gibi
alperr	Alper
Yıllaar	yıllar
ripiit	repeat
aftır	after
mi	me
tuuçe	Tuğçe
hanfendi	hanımefendi
gecirseydinn	geçirseydin
oduyorumm	ödüyorum
telefonununda	telefonunda
diolar	diyorlar
türksel	Turkcell
turkcel	Turkcell
yapcakti	yapacaktı
yapığı	yaptığı
stayla	style
öğrenemiyoken	öğrenemiyorken
türksell	Turkcell
bakıyoo	bakıyor
türksell	Turkcell
bakıyoo	bakıyor
Türksel	Turkcell
ipnelik	ibnelik
turkcel	Turkcell
yukleynce	yükleyince
ogrencisn	öğrencisin
hanii	hani
çıkarcanız	çıkaracak
mı	mısınız
olan	olanın
Herbiidenn	Harbiden
nedenn	neden
biliosun	biliyorsun
yook	yok
Türksel	Turkcell
döndüüm	döndüm
kazikliyacagini	kazıklayacağını
sasirdigin	şaşırdığı
olazaam	olacağım
trkcell	Turkcell
turkcel	Turkcell
türksel	Turkcell
di	değil
Off	Of
hafi	hafif
analdım	anladım
turkcel	Turkcell
Turkcel	Turkcell
konusalm	konuşalım
beiber	Bieber
yarrak	yarak
bagarir	bağırır
cagarirsan	çağırırsan
suyunhu	suyunu
şuan	şu
int	internet
Turkcel	Turkcell
Turkcel	Turkcell
cnm	Canım
türksel	Turkcell
verseene	versene
türksel	Turkcell
baya	bayağı
baya	bayağı
turkcel	Turkcell
uyandirdii	uyandırdı
şekerr	şeker
yükleyemiyoom	yükleyemiyorum
sovdugumm	sövdüğüm
kadarr	kadar
sovmedmm	sövmedim
anasni	anasını
yokk	yok
turkcel	Turkcell
ağıır	ağır
bu	gelsin
turkcel	Turkcell
turkcel	Turkcell
all	al
geçtimde	geçtim
deyildi	değildi
otomatkmen	otomatikman
Kimle	kiminle
Türksel	Turkcell
yaa	ya
turkcel	Turkcell
kontrluye	kontörlüye
kagitti	kağıdı
neda	nede
tatlidur	tatlıdır
hatlidur	hatlıdır
mesajlarun	mesajların
yureğume	yüreğime
saklidur	saklıdır
turksel	Turkcell
turkcel	Turkcell
demi	dimi
di	değil
tabii	tabi
arıyım	arayayım
facee	face
türksel	Turkcell
insaff	insaf
gökbkr	Gökbakar
dmrer	Demirer
mükteri	müşteri
analatamam	anlatamam
diyolarmis	diyorlarmış
gitimiz	gittiğimiz
bedawa	bedava
trkcell	Turkcell
falan	filan
yook	yok
telden	telefondan
giremiyorumm	giremiyorum
Anaa	Ana
sevıyomus	seviyormuş
Hadi	Haydi
kontürlerimi	kontörlerimi
tskrlr	teşekkürler
turkcel	Turkcell
istiyosaniz	istiyorsanız
cekyim	çekeyim
ıcınn	için
Turksel	Turkcell
firmay	firmaya
bakıyoo	bakıyor
turkcel	Turkcell
sikim	sikeyim
tatliar	tatlılar
turkcel	Turkcell
turksell	Turkcell
alırımısın	alır
çıkak	çıkalım
unutmuışum	unutmuşum
kis	kişi
yaa	ya
laan	ulan
yapıyodur	yapıyordur
oğluum	oğlum
türksel	Turkcell
akılı	akıllı
dgerli	değerli
müsterimz	müşterimiz
kii	ki
message	mesaj
heralde	herhalde
koyim	koyayım
türksel	Turkcell
ohh	oh
metrobûs	metrobüs
uyarıo	uyarıyor
anaısnı	anasını
hissetiğini	hissettiğini
yane	yani
çalıyosa	çalıyorsa
ilgizisliginizden	ilgisizliğinizden
istee	işte
tandııklarım	tandıklarım
Turksel	Turkcell
saolsun	sağolsun
neysee	neyse
ıstycegm	isteyeceğim
parasın	paranız
turksel	Turkcell
msjlari	mesajları
yanimzda	yanımızda
ygun	uygun
bulamamam	bulamam
olmicaktim	olmayacaktım
tşklr	teşekkürler
tşklr	teşekkürler
şeyleri	şeylerin
mesaz	mesaj
bişe	birşey
varr	var
ulasıyım	ulaşayım
moreliniz	moraliniz
Tcell	Turkcell
Turkcel	Turkcell
ofrenebilir	öğrenebilir
Bee	Be
türksel	Turkcell
ohaa	oha
yazdıgmı	yazdığımı
diyin	deyin
yaptırcamm	yaptırcam
bekliyosam	bekliyorsam
oç	orospu
vodofone	Vodafone
vinndan	vından
aşıık	aşık
türkcel	Turkcell
türkcel	Türkcell
off	of
gidiyim	gideyim
mina	amına
bkz	bakınız
istiyoruum	istiyorum
interne	internet
anasınıı	anasını
gelmiiş	gelmiş
yapms	yapmış
yaa	ya
turksel	Turkcell
gülüyodur	gülüyordur
kontorlerr	kontörler
kazandrmis	kazandırmış
abıı	abi
kafaına	kafasına
kafaına	kafasına
başaltıldı	başlatıldı
katılıorum	katılıyorum
katılıorum	katılıyorum
kampayasi	kampanyası
veriyomus	veriyormuş
Türksel	Türkcell
bitanesi	bir
abii	abi
kontorüm	kontürüm
heralde	herhalde
heralde	herhalde
gnclilere	gençlilere
kanpanya	kampanya
bunlati	bunları
statun	statune
ayrica	ayırdı
burası	telefonu
türkiye	telefonu
türksel	Turkcell
nin	tlnin
Ataıstler	Ateistler
kontur	kontör
açıldıı	açıldı
turksel	Turkcell
amaa	ama
ayipp	ayıp
atms	atmış
göstrmysn	göstermiyorsun
saolsn	sağolsun
oldumm	oldum
gelmısle	gelmişler
hızmetlerını	hizmetlerin
gib	gibi
kontor	kontür
yuklemıyomusum	yüklemiyormuşum
göderin	gönderin
konturlerimi	kontörlerimi
bitek	bir
baya	bayağı
heyy	hey
pakedim	paketim
türksel	Turkcell
telde	telefonda
adam	adamı
türksel	Turkcell
ımına	amına
kıdıklarım	koyduklarım
telefonummda	telefonumda
vodafoe	vodafone
kullanıyk	kullanıyoruz
yapmıştıı	yapmıştı
zamandıır	zamandır
kankim	kankam
bee	be
misini	misiniz
cinema	sinema
alıcaksın	alacaksın
dakkami	dakikamı
maduruz	mağduruz
saatir	saattir
sokim	sokayım
rağzıyım	razıyım
yaa	ya
katalok	katalog
amcaa	amca
sübanekke	Sübhaneke
yiyorr	yiyor
açç	aç
bilion	biliyorsun
kapatilmasin	diyorsan
olucakki	olacak
Ohaa	Oha
ee	e
türksel	Turkcell
deyu	diye
deyu	diye
yahuu	yahu
bee	be
fiko	Fikret
türksel	Turkcell
türksel	Türkcell
eyv	eyvallah
turkcel	Turkcell
nodan	numaradan
nan	ulan
türksel	Turkcell
stayla	style
te	tüh
zamandaa	zamanda
Türksel	Türkcell
olom	oğlum
websitesinde	web
sağ	sayfayı
Vodofone	Vodafone
Vodofone	Vodafone
Vodofone	Vodafone
sirkti	şirketi
türksel	Turkcell
ayy	ay
warmış	varmış
deildir	değildir
ahh	ah
çook	çok
diyince	deyince
atmiss	atmış
hee	he
felan	falan
etııgım	ettiğim
böle	böyle
ahh	ah
yav	ya
yerdee	yerde
yanii	yani
fock	fuck
iphonemdeki	iphonumdaki
Hayy	Hay
vınn	vın
diyince	deyince
ziyeret	ziyaret
turkcel	Turkcell
turkcel	Turkcell
haha	hah
napalım	ne
trkcell	Turkcell
dir	saattir
turkcel	Turkcell
yha	yaa
turkcel	Turkcell
eydi	iyiydi
kafaına	kafasına
kafaına	kafasına
kafaına	kafasına
evlıydıkk	evliydik
türkcel	Türkcell
attın	atsın
kafaına	kafasına
ki	internet
ulassiin	ulaşsın
nıe	niye
ıyımıs	iyiymiş
vee	ve
mıı	mı
full	ful
geçiyosa	geçiyorsa
kampnylrla	kampanyalarıyla
yaa	ya
been	ben
D	dk
sgl	sağol
veririr	verir
uretemiyr	üretemiyor
türkcel	Türkcell
yavşdi	yavşadı
verşo	veriyor
sıcım	sıçayım
bakiyoym	bakıyorum
arıyamadım	arayamadım
bulunam	bulunan
yaa	ya
mıı	mı
pliis	please
biticegini	biteceğini
eyidi	iyidi
bulunam	bulunayım
bayağaa	bayağı
gençmişş	gençmiş
Turksel	Turkcell
rakkam	rakam
twit	tweet
kendinilerini	kendilerini
kullanısıcıymışım	kullanıcısıymışım
Turkcel	Turkcell
defaa	defa
yaa	ya
veriyi	veriyor
Turkcel	Turkcell
turkcel	Turkcell
koyım	koyayım
tweeter	twittera
Tlfnun	telefonun
gercerli	geçerli
aryanlari	arayanları
yayinlacagim	yayınlayacağım
teli	telefonu
turksel	Turkcell
türksel	Turkcell
Oparatör	Operatör
bahsetmiorm	bahsetmiyorum
ipneler	ibneler
türksel	Türkcell
dönjem	döneceğim
kankim	kankam
ediyim	edeyim
dliye	diye
yaa	ya
baa	bana
Kampana	Kampanya
turksel	Turkcell
atıyım	atayım
haltınn	haltı
seviniyn	seviniyorsun
diysn	diyorsun
bakiysn	bakıyorsun
kodumun	koyduğumun
hayyir	hayır
kanpanya	kampanya
Türksel	Turkcell
heralde	herhalde
dusun	düşünn
Eveet	Evet
saolsun	sağolsun
Vayy	Vay
hee	he
ağızına	ağzına
ardında	ardından
oglm	oğlum
Pazartersi	Pazartesi
direk	direkt
Vinn	Vın
yaa	ya
bebeyim	bebeğim
şakıyı	şarkıyı
bilgilendirecz	bilgilendireceğiz
yaptımm	yaptım
turkcel	Turkcell
afferim	aferin
Turkcel	Turkcell
haa	ha
hepsii	hepsi
atmıo	atmıyor
ayrıcs	ayrıca
pakaeti	paketi
vodofon	Vodoafone
turkcel	Turkcell
kontor	kontür
hoştt	hoşt
Yahoyt	Yahu
pirensip	prensip
türksel	Turkcell
taamam	tamam
yeeter	yeter
tel	telefon
nonu	numaranı
tm	tamam
trkcll	Turkcell
trkcll	Turkcell
turkcel	Turkcell
nee	ne
hal	hala
diyip	deyip
kullanıosan	kullanıyorsan
yapabiliosun	yapabiliyorsun
oluo	oluyor
gülücegim	güleceğim
yiyim	yiyeyim
türksel	Turkcell
ünüvde	üniversitede
anca	ancak
ahh	ah
yanlzlğmı	yalnızlığımı
kapıyada	kapıya
katiliyorm	katılıyorum
ariim	arayayım
de	da
tukcell	Turkcell
tukcell	Turkcell
senii	seni
aldilarr	aldılar
turkcel	Turkcell
kontor	kontür
kontor	kontür
çekim	gücü
tanrimm	tanrım
eksiktii	eksikti
turkcel	Turkcell
turkcel	Turkcell
fanteziler	fantaziler
inş	inşallah
hiz	hizmetleri
acabaa	acaba
geçiceğim	geçeceğim
baya	bayağı
kapmanyasını	kampanyasını
hııh	hıh
Çınım	Canım
gaybetti	kaybetti
deinanilmaz	inanılmaz
kardeeş	kardeş
getiriyolardir	getiriyorlardır
smdi	şimdi
asklan	aşkla
uzdung	üzdün
sanaa	sana
mağlum	malum
Türkcel	Turkcell
diğerlerininde	diğerlerinden
memmunum	memnunum
diyosa	diyorsa
dinliolar	dinliyorlar
biliolar	biliyorlar
turkcel	Turkcell
den	değil
turkcel	Turkcell
hee	he
koyim	koyayım
atiyorr	atıyor
gormedk	görmedik
canlarıım	canlarım
yaa	ya
ohaa	oha
garıları	karıları
herkeze	herkese
cicislere	cicilere
vercekmıs	verecekmiş
tutmus	tutmustuş
kest	kes
turksel	Turkcell
trkcll	Turkcell
hoşlanıyosan	hoşlanıyorsan
trkcell	Turkcell
sabahlicaktik	sabahlayacaktık
deilim	değilim
vermiyjeksen	vermeyeceksen
kardo	kardeş
gerii	geri
hedaye	hediye
askıım	aşkım
turksel	Turkcell
Turkcel	Turkcell
nse	neyse
turkcel	Turkcell
yav	ya
türksel	Turkcell
yatakda	yatakta
atak	bir
verıyomus	verıyormuş
edıyorm	ediyorum
nerdee	nerede
nerdee	nerede
mmerak	merak
bırt	pırt
whatsapp	whatsappın
Adatmacası	Aldatmacası
tatlılar	Ben
değilim	değil
Türksel	Turkcell
icn	için
istedgmz	istediğimiz
ayagnda	ayağında
turksel	Turkcell
hatıım	hattım
kske	keşke
orti	ortak
sex	seks
sexe	sekse
arıyamam	arayamam
hazırkart	hazır
anca	ancak
gordumm	gördüm
oo	o
TurkceL	Turkcell
Çook	Çok
Şekeer	Şeker
bnm	Benim
actrsm	açtırsam
diorm	diyorum
bilio	biliyor
gidem	gideyim
action	aksiyon
yapılıyoo	yapılıyor
kolayan	kollayan
bayiyim	bayisiyim
baglanicaktik	bağlanacaktık
haanii	hani
la	lan
senn	sen
meclisten	da
askitom	aşkım
ewe	eve
bağlıyabildi	bağlayabildi
Turkcel	Turkcell
sahtakarlar	sahtekarlar
dûdûklûyor	düdüklüyor
raad	rahata
turkceli	Turkcelli
dolandiırıcı	dolandırıcı
Turkcel	Turkcell
kalıyım	kalayım
Türksel	Turkcell
maduruz	mağduruz
tursel	Turkcell
turksel	Turkcell
muzkten	müzikten
albumnu	albümünü
trkcll	Turkcell
sarklr	şarkılar
tvit	tweet
oynamasydin	oynamasaydın
yaa	ya
sorularr	sorular
gıdıceksnz	gideceksiniz
turksel	Turkcell
anıyodur	anıyordur
türksel	Turkcell
Turkcel	Turkcell
yahuu	yahu
sewiyoruz	seviyoruz
turkcel	Turkcell
turksel	Turkcell
eyw	eyvallah
eyw	eyvallah
temsilciinizi	temsilcinizi
hayataa	hayata
türksel	Türkcell
Türksel	Turkcell
bılet	bile
calısıorsunuz	çalışıyorsunuz
dewam	devam
soylim	söyleyeyim
cevirdii	çevirdi
dinlegim	dinlediğim
vodafon	vodafone
türkcel	Turkcell
HAKKl	Hakkı
herkezi	herkesi
onerrim	öneririm
türksel	Turkcell
ay	ayki
geciceemm	geçeceğim
yaa	ya
nediir	nedir
üniversiteyiz	üniversitesiyiz
suyi	suyu
bişe	bize
tatlidur	tatlıdır
türksel	Turkcell
kartlidur	kartlıdır
Mesajlarun	Mesajların
saklidur	saklıdır
sevduğum	sevdiğim
hadi	haydi
hersey	her
turksel	Turkcell
seviyii	seviyor
istee	işte
kankaa	kanka
twittrr	Twitter
bitmedii	bitmedi
sasırdm	şaşırdım
Türksell	Turkcell
msjlasiyorum	mesajlaşıyorum
kllniyrum	kullanıyorum
oprt	operatör
lik	tllik
kullnmm	kullanıyorum
ck	çok
sankii	sanki
yalancii	yalancı
Turkcel	Turkcell
sesınen	sesinden
yu	yuh
solesin	söylesin
zangin	zengin
ediorum	ediyorum
ediOrum	ediyOrum
Yardımm	Yardım
niyese	niyeyse
vericegine	vereceğine
kontor	kontür
tsklr	teşekkürler
tsklr	teşekkürler
ismarlaarim	ısmarlarım
turksel	Turkcell
bilem	bileyim
hanfendi	hanımefendi
koyıyım	koyayım
heyanlanıyorum	heyecanlanıyorum
olmuo	olmuyor
saatlerndde	saatlerinde
hemde	hem
telefonuu	telefonu
kaptrirsn	kaptırırsın
kampaya	kampanya
twetr	twitter
saolsun	sağolsun
Türkcel	Turkcell
türkcel	Turkcell
yokk	yok
wodafone	Vodafone
ediyomus	ediyormuş
seviyomus	seviyormuş
ohaa	oha
direk	direkt
bendee	bende
tukcell	Turkcell
dusceksin	düşeceksin
ahh	ah
kii	ki
yalnıız	yalnız
turksel	Turkcell
berii	beri
yorumsuzz	yorumsuz
kaldimm	kaldım
burclaraa	burçlara
pakedimin	paketimin
bildign	bildiğin
basni	başını
gidior	gidiyor
trkcell	Turkcell
smdi	şimdi
gelior	geliyor
gosteryr	gösteriyor
ohh	oh
miss	mis
artıkk	artık
pakedi	paketi
turkcel	Turkcell
nıe	niye
bole	böyle
taa	ta
bildiriyodur	bildiriyordur
senl	seni
otutturduysa	oturtturduysa
turkcel	Turkcell
koyim	koyayım
olmaaz	olmaz
Turkcel	Turkcell
futura	fatura
grsın	girsin
ohuyomm	okuyorum
azına	ağzına
trkcll	Turkcell
cım	ciğim
gomcurtuo	göçürtüyor
bekliorum	bekliyorum
atabiliirr	atabilir
mii	mi
ceblerimin	ceplerimin
getrdı	getirdi
attırdıı	attırdı
yaa	ya
Anemizi	Annemizi
telefunda	telefonundan
ariyuruz	arıyoruz
Yahoyt	Yihu
kamuwınn	kamu
Turkcel	Turkcell
tanimiyorm	tanımıyorum
ustlarine	üstlerine
cekmio	çekmiyor
gidio	gidiyor
türksel	Turkcell
karı	kadın
gönderiyim	göndereyim
gandırdı	kandırdı
yook	yok
yokk	yok
basaysıın	basıyorsun
bas	baz
tlf	telefon
götüşelim	görüşelim
baya	bayağı
turkcel	Turkcell
kullnirmis	kullanırmış
kaddar	kadar
yapsıın	yapsın
yiyim	yiyeyim
Türksel	Turkcell
yiyim	yiyeyim
kayırıo	kayırıyor
Turkcel	Turkcell
Taahhuttum	Taahütüm
icn	için
yzmiştm	yazmıştım
vodafon	Vodafone
türksel	Turkcell
rehperımı	rehberimi
yeğe	yedeğe
turkcel	Turkcell
lağzım	lazım
ılaydacığıım	İlaydacığım
aayy	ay
Hee	Her
meşkul	meşgul
heralde	herhalde
tesekkurleer	teşekkürler
turkcel	Turkcell
Twitteki	Twitterdaki
kalmıyım	kalmayayım
diyee	diye
geçiyim	geçeyim
takmiyy	takmıyor
Ahh	Ah
turkcel	Turkcell
oc	orospu
türksel	Turkcell
vınn	vın
gidiyomus	gidiyormuş
yazmıştımm	yazmıştım
turkcel	Turkcell
int	internet
ee	e
değilde	değil
Atlayım	Atlayayım
espirisini	esprisini
hanii	hani
hanii	hani
turkcel	Turkcell
bii	bir
araar	arar
fasfakir	fakir
sanırımm	sanırım
hadi	haydi
turkcel	Turkcell
Türksel	Turkcell
türksel	Turkcell
yabaci	yabancı
yuuh	yuh
gııttıı	gitti
kontorlerı	kontürleri
mesajsaa	mesajsa
türksel	Türkcell
Tsklr	Teşekkürler
anca	ancak
benimm	benim
yiyim	yiyeyim
çalar	çalarmış
olmuss	olmuş
türksel	Turkcell
allasen	allahsen
knk	kanka
vaar	var
iyiiyim	iyiyim
muu	mu
türkcel	Turkcell
vodafon	Vodafone
turkcel	Turkcell
hizmetlerrindeki	hizmetlerindeki
turksell	Turkcell
cekıstrmeyız	çekiştirmeyiz
telee	tl
vodafon	Vodafone
türksel	Turkcell
dnltt	dinlet
tahut	taahhüt
karsılıgımda	karşılığında
verdii	verdi
yaa	ya
kopuyooz	kopuyoruz
anlanmis	anlaşmış
türksell	Turkcell
bencee	bence
muhattap	muhatap
kizlk	kızlık
soyadni	soyadını
soylym	söyleyeyim
icnde	içinde
heralde	herhalde
hizinda	hızından
wodafana	Vodafana
geljn	gelin
